gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,costat,weburl
031634,2000-12-31,2000,INDL,C,D,STD,RIVIERA HOLDINGS CORP,USD,I,
031635,2000-12-31,2000,INDL,C,D,STD,SEPRAGEN CORP  -CL A,USD,I,www.sepragen.com
031636,2000-12-31,2000,INDL,C,D,STD,CVEO CORP,USD,I,www.converse.com
031643,2000-12-31,2000,INDL,C,D,STD,LIBERTY FINANCIAL COS INC,USD,I,www.lib.com
031660,2000-12-31,2000,INDL,C,D,STD,DATASTREAM SYSTEMS INC,USD,I,
031661,2000-12-31,2000,INDL,C,D,STD,ACT MANUFACTURING INC,USD,I,
031662,2000-06-30,2000,INDL,C,D,STD,BANK WEST FINANCIAL CORP,USD,I,
031662,2000-06-30,2000,FS,C,D,STD,BANK WEST FINANCIAL CORP,USD,I,
031669,2000-09-30,2000,INDL,C,D,STD,CAMERON FINANCIAL CORP,USD,I,
031669,2000-09-30,2000,FS,C,D,STD,CAMERON FINANCIAL CORP,USD,I,
031672,2000-06-30,2000,INDL,C,D,STD,SOBIESKI BANCORP INC,USD,I,
031672,2000-06-30,2000,FS,C,D,STD,SOBIESKI BANCORP INC,USD,I,
031673,2000-09-30,2000,INDL,C,D,STD,CENCORA INC,USD,A,www.amerisourcebergen.com
031674,2000-12-31,2000,INDL,C,D,STD,PCM INC,USD,I,www.pcm.com
031675,2000-09-30,2000,INDL,C,D,STD,FIRST FEDERAL BANCORP/MN,USD,I,
031675,2000-09-30,2000,FS,C,D,STD,FIRST FEDERAL BANCORP/MN,USD,I,
031681,2000-12-31,2000,INDL,C,D,STD,ASIA PAC RES INTL HLD  -CL A,USD,I,www.aprilasia.com
031683,2000-01-31,1999,INDL,C,D,STD,FINLAY ENTERPRISES INC,USD,I,
031686,2000-12-31,2000,INDL,C,D,STD,LUCOR INC  -CL A,USD,I,
031689,2000-12-31,2000,INDL,C,D,STD,TAPESTRY PHARMACEUTICALS INC,USD,I,
031692,2000-12-31,2000,INDL,C,D,STD,MB FINANCIAL INC/MD,USD,I,www.mbfinancial.com
031692,2000-12-31,2000,FS,C,D,STD,MB FINANCIAL INC/MD,USD,I,www.mbfinancial.com
031702,2000-12-31,2000,INDL,C,D,STD,YOUR COMMUNITY BANKSHARES,USD,I,
031702,2000-12-31,2000,FS,C,D,STD,YOUR COMMUNITY BANKSHARES,USD,I,
031703,2000-06-30,2000,INDL,C,D,STD,GUARANTY FED BANCSHARES INC,USD,I,www.gbankmo.com
031703,2000-06-30,2000,FS,C,D,STD,GUARANTY FED BANCSHARES INC,USD,I,www.gbankmo.com
031706,2000-12-31,2000,INDL,C,D,STD,MIRAVANT MEDICAL TECHNOLGIES,USD,I,
031707,2000-12-31,2000,INDL,C,D,STD,PMI GROUP INC,USD,I,www.pmigrp.net
031707,2000-12-31,2000,FS,C,D,STD,PMI GROUP INC,USD,I,www.pmigrp.net
031712,2000-01-31,1999,INDL,C,D,STD,DENNINGHOUSE INC,CAD,I,
031716,2000-12-31,2000,INDL,C,D,STD,WELLS FINANCIAL CORP,USD,I,
031716,2000-12-31,2000,FS,C,D,STD,WELLS FINANCIAL CORP,USD,I,
031717,2000-06-30,2000,INDL,C,D,STD,IRSA INVERSIONES Y REPSTN SA,USD,A,www.irsa.com.ar
031720,2000-12-31,2000,INDL,C,D,STD,SSI INVESTMENTS II LTD,USD,A,
031725,2000-12-31,2000,INDL,C,D,STD,FIRST SOUTHN BANCSHARES INC,USD,I,www.firstsouthern.com
031725,2000-12-31,2000,FS,C,D,STD,FIRST SOUTHN BANCSHARES INC,USD,I,www.firstsouthern.com
031727,2000-02-29,1999,INDL,C,D,STD,MULTI-MEDIA TUTRIAL SVCS INC,USD,A,www.mathmadeeasy.com
031732,2000-12-31,2000,INDL,C,D,STD,CLARION TECHNOLOGIES INC,USD,I,www.clariontechnologies.com
031734,2000-06-30,2000,INDL,C,D,STD,TRANSAXIS INC,USD,I,
031737,2000-12-31,2000,INDL,C,D,STD,RTW INC,USD,I,www.rtwi.com
031738,2000-12-31,2000,INDL,C,D,STD,TAITRON COMPONENTS  -CL A,USD,A,www.taitroncomponents.com
031739,2000-09-30,2000,INDL,C,D,STD,TECHE HOLDING CO,USD,I,
031739,2000-09-30,2000,FS,C,D,STD,TECHE HOLDING CO,USD,I,
031743,2000-12-31,2000,INDL,C,D,STD,ANADIGICS INC,USD,I,www.anadigics.com
031744,2000-12-31,2000,INDL,C,D,STD,JACKSONVILLE BANCORP INC/MD,USD,I,
031744,2000-12-31,2000,FS,C,D,STD,JACKSONVILLE BANCORP INC/MD,USD,I,
031745,2000-12-31,2000,INDL,C,D,STD,SHARED TECHNOLOGIES CELLULAR,USD,I,
031748,2000-09-30,2000,INDL,C,D,STD,HAUPPAUGE DIGITAL INC,USD,A,www.hauppauge.com
031749,2000-12-31,2000,INDL,C,D,STD,VIB CORP,USD,I,www.rabobankamerica.com
031749,2000-12-31,2000,FS,C,D,STD,VIB CORP,USD,I,www.rabobankamerica.com
031750,2000-12-31,2000,INDL,C,D,STD,CENTURY BUILDERS GROUP INC,USD,I,
031751,2000-12-31,2000,INDL,C,D,STD,CONMED HEALTHCARE MGMT INC,USD,I,www.conmedinc.com
031752,2000-12-31,2000,INDL,C,D,STD,CBIZ INC,USD,A,www.cbiz.com
031754,2000-12-31,2000,INDL,C,D,STD,SPECTRE GAMING INC,USD,I,
031756,2000-12-31,2000,INDL,C,D,STD,MORGAN FUNSHARES,USD,I,
031761,2000-06-30,2000,INDL,C,D,STD,INKINE PHARMACEUTICAL CO INC,USD,I,
031762,2000-12-31,2000,INDL,C,D,STD,5TH AVE CHANNEL CORP,USD,I,smevmerger.com
031763,2000-12-31,2000,INDL,C,D,STD,EVERLAST WORLDWIDE INC,USD,I,www.everlast.com
031764,2000-12-31,2000,INDL,C,D,STD,BANK OF MARIN BANCORP,USD,A,www.bankofmarin.com
031764,2000-12-31,2000,FS,C,D,STD,BANK OF MARIN BANCORP,USD,A,www.bankofmarin.com
031766,2000-09-30,2000,INDL,C,D,STD,PHOENIX GOLD INTL INC,USD,I,
031775,2000-12-31,2000,INDL,C,D,STD,AUTOSCOPE TECHNOLOGIES CORP,USD,A,www.autoscope.com
031778,2000-12-31,2000,INDL,C,D,STD,AMERICANWEST BANCORP,USD,I,www.awbank.net
031778,2000-12-31,2000,FS,C,D,STD,AMERICANWEST BANCORP,USD,I,www.awbank.net
031789,2000-06-30,2000,INDL,C,D,STD,ASB FINANCIAL CORP,USD,I,
031789,2000-06-30,2000,FS,C,D,STD,ASB FINANCIAL CORP,USD,I,
031790,2000-06-30,2000,INDL,C,D,STD,NETWORK CONNECTION INC,USD,I,
031793,2000-12-31,2000,INDL,C,D,STD,ELECTROPHARMACOLOGY INC,USD,I,
031808,2000-12-31,2000,INDL,C,D,STD,CBR BREWING CO INC -CL A,USD,I,
031811,2000-09-30,2000,INDL,C,D,STD,GARDEN FRESH RESTAURANT CORP,USD,I,souplantation.com
031821,2000-12-31,2000,INDL,C,D,STD,PLAN VISTA CORP,USD,I,
031831,2000-12-31,2000,INDL,C,D,STD,JILIN CHEMICAL INDUSTRIAL CO,USD,I,
031843,2000-12-31,2000,INDL,C,D,STD,HARMONIC INC,USD,A,www.harmonicinc.com
031846,2000-05-31,1999,INDL,C,D,STD,DARDEN RESTAURANTS INC,USD,A,www.darden.com
031849,2000-01-31,1999,INDL,C,D,STD,BORDERS GROUP INC,USD,I,borders.com
031854,2000-12-31,2000,INDL,C,D,STD,EZENIA INC,USD,A,www.ezenia.com
031858,2000-12-31,2000,INDL,C,D,STD,RECKSON ASSOCS REALTY CORP,USD,I,www.reckson.com
031858,2000-12-31,2000,FS,C,D,STD,RECKSON ASSOCS REALTY CORP,USD,I,www.reckson.com
031880,2000-01-31,1999,INDL,C,D,STD,COMPUTER LEARNING CTRS INC,USD,I,www.computerlearningcentersinc.com
031881,2000-12-31,2000,INDL,C,D,STD,FEI CO,USD,I,www.fei.com
031882,2000-12-31,2000,INDL,C,D,STD,PHAROL SGPS SA,USD,A,pharol.pt
031887,2000-06-30,2000,INDL,C,D,STD,RESMED INC,USD,A,www.resmed.com
031888,2000-12-31,2000,INDL,C,D,STD,INTELIDATA TECHNOLOGIES CORP,USD,I,
031894,2000-12-31,2000,INDL,C,D,STD,BWC FINANCIAL CORP,USD,I,
031894,2000-12-31,2000,FS,C,D,STD,BWC FINANCIAL CORP,USD,I,
031895,2000-12-31,2000,INDL,C,D,STD,BAR HARBOR BANKSHARES,USD,A,www.barharbor.bank
031895,2000-12-31,2000,FS,C,D,STD,BAR HARBOR BANKSHARES,USD,A,www.barharbor.bank
032280,2000-12-31,2000,INDL,C,D,STD,STARZ,USD,I,www.starz.com
060796,2000-12-31,2000,INDL,C,D,STD,MED-DESIGN CORP,USD,I,
060797,2000-12-31,2000,INDL,C,D,STD,AVANT CORP,USD,I,
060798,2000-12-31,2000,INDL,C,D,STD,3TEC ENERGY CORP,USD,I,
060800,2000-12-31,2000,INDL,C,D,STD,SINCLAIR INC,USD,A,sbgi.net
060801,2000-12-31,2000,INDL,C,D,STD,SOCKET MOBILE INC,USD,A,www.socketmobile.com
060802,2000-12-31,2000,INDL,C,D,STD,TRUMP ENTERTAINMENT RESORTS,USD,I,www.trumpcasinos.com
060811,2000-12-31,2000,INDL,C,D,STD,PRECISION ASSESSMENT TECH CP,CAD,I,
